uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
0922629H;COLLEGE JEAN MERMOZ;141;98.0;92.0;120;131.1;37.1
0922662U;COLLEGE ROBERT PAPAREMBORDE;121;93.0;90.0;93;112.9;39.0
0930089S;COLLEGE GROUPE ANATOLE-FRANCE;126;84.0;88.0;66;90.3;27.8
0930100D;COLLEGE ERIC TABARLY;100;92.0;97.0;70;102.2;34.0
0930593P;COLLEGE SAINT EXUPERY;183;92.0;91.0;123;102.8;31.9
0930858C;COLLEGE PABLO NERUDA;153;84.0;86.0;95;98.8;34.1
0930891N;COLLEGE VICTOR HUGO;111;73.0;92.0;47;81.3;23.4
0930897V;COLLEGE PAUL PAINLEVE;137;87.0;94.0;88;76.8;24.6
0930912L;COLLEGE PRIVE FIDELIS;55;100.0;90.0;45;109.5;28.4
0931144N;COLLEGE MICHELET;87;83.0;90.0;35;84.5;28.3
0931188L;COLLEGE RAYMOND POINCARE;187;82.0;92.0;108;81.4;23.8
0931202B;COLLEGE LIBERTE;123;90.0;90.0;72;80.5;23.9
0931211L;COLLEGE MARAIS DE VILLIERS;83;88.0;82.0;50;88.1;31.0
0931213N;COLLEGE COLONEL FABIEN;107;92.0;91.0;82;90.7;34.1
0931214P;COLLEGE CLOS SAINT VINCENT;159;90.0;89.0;95;103.1;36.6
0931223Z;COLLEGE GUSTAVE COURBET;161;87.0;92.0;99;76.3;23.0
0931228E;COLLEGE ALBERT CAMUS;107;90.0;95.0;63;101.8;33.5
0931230G;COLLEGE ELSA TRIOLET;105;81.0;86.0;57;81.9;26.4
0931231H;COLLEGE PIERRE DE GEYTER;131;80.0;89.0;67;86.0;29.8
0931377S;COLLEGE JORISSEN;147;77.0;86.0;87;78.3;24.4
0931379U;COLLEGE PABLO NERUDA;150;89.0;90.0;100;77.3;24.3
0931382X;COLLEGE EUGENE CARRIERE;106;98.0;96.0;87;124.9;32.5
0931433C;COLLEGE DESCARTES;156;86.0;87.0;79;76.4;20.9
0931434D;COLLEGE CLAUDE DEBUSSY;154;84.0;95.0;93;78.9;23.4
0931490P;COLLEGE LA COURTILLE;88;78.0;96.0;47;76.0;23.2
0931607S;COLLEGE JEAN JAURES;136;78.0;96.0;76;86.4;24.9
0931610V;COLLEGE JACQUES PREVERT;170;82.0;93.0;93;87.7;29.7
0931614Z;COLLEGE JACQUES PREVERT;156;90.0;92.0;114;90.0;26.8
0931705Y;COLLEGE PRIVE FRANCOISE CABRINI;169;100.0;99.0;165;137.1;25.9
0931788N;COLLEGE HENRI SELLIER;140;79.0;87.0;86;86.1;23.8
0932261C;COLLEGE JOSEPHINE BAKER;109;90.0;89.0;81;84.5;29.7
0932262D;COLLEGE DE LA PLEIADE;166;90.0;91.0;102;79.1;23.7
0932273R;COLLEGE IQBAL MASIH;126;90.0;87.0;84;78.2;25.6
0932301W;COLLEGE HENRI IV;147;90.0;92.0;108;100.6;31.6
0932311G;COLLEGE THEODORE MONOD;128;86.0;91.0;89;93.9;31.0
0932454M;COLLEGE LUCIE AUBRAC;172;93.0;93.0;112;100.0;31.9
0932582B;COLLEGE DORA MAAR;154;87.0;89.0;83;79.5;25.3
0932695Z;COLLEGE GERMAINE TILLION;159;88.0;93.0;109;98.4;31.7
0940031Y;COLLEGE VICTOR HUGO;104;92.0;84.0;77;111.1;35.1
0940042K;COLLEGE ADOLPHE CHERIOUX;112;88.0;91.0;73;94.9;30.8
0940072T;COLLEGE LES CLOSEAUX;90;88.0;98.0;62;127.3;35.7
0940094S;COLLEGE FRANCINE FROMOND;72;93.0;91.0;42;91.2;26.5
0940521F;COLLEGE LOUIS PASTEUR;111;86.0;91.0;68;89.5;24.8
0940552P;COLLEGE LE PARC;208;97.0;98.0;189;144.6;32.0
0940581W;COLLEGE JEAN MOULIN;116;90.0;95.0;70;90.7;26.3
0940582X;COLLEGE JEAN CHARCOT;102;89.0;94.0;58;102.2;30.9
0940617K;COLLEGE DU FORT;163;82.0;95.0;100;100.7;35.5
0940748C;COLLEGE DU PARC;164;95.0;94.0;119;129.7;32.6
0940786U;COLLEGE LUCIE AUBRAC;118;77.0;90.0;47;79.6;22.8
0940787V;COLLEGE NICOLAS BOILEAU;92;77.0;99.0;40;81.9;26.3
0940788W;COLLEGE PIERRE BROSSOLETTE;145;90.0;91.0;110;129.6;37.0
0940790Y;COLLEGE JACQUES OFFENBACH;128;95.0;94.0;112;129.5;35.2
0940793B;COLLEGE ANTOINE DE SAINT-EXUPERY;167;99.0;96.0;147;146.2;29.4
0940807S;COLLEGE PRIVE SAINTE THERESE;77;99.0;86.0;72;124.4;27.9
0940808T;COLLEGE PRIVE NOTRE DAME DES MISSIONS;165;100.0;95.0;161;139.3;22.8
0940809U;COLLEGE PRIVE JEANNE D'ARC;86;100.0;98.0;80;129.8;26.4
0940811W;COLLEGE PRIVE SAINT ANDRE;90;100.0;94.0;87;132.8;24.2
0941017V;COLLEGE ANTOINE DE SAINT-EXUPERY;125;90.0;96.0;99;119.2;33.3
0941020Y;COLLEGE HENRI BARBUSSE;105;83.0;90.0;62;97.8;34.5
0941021Z;COLLEGE PAUL LANGEVIN;115;80.0;91.0;60;88.9;27.8
0941026E;COLLEGE MOLIERE;114;89.0;85.0;71;89.6;29.9
0941046B;COLLEGE EDOUARD HERRIOT;166;98.0;96.0;150;127.1;35.4
0941100K;COLLEGE PAUL BERT;132;98.0;97.0;120;128.9;38.9
0941103N;COLLEGE JEAN MACE;113;83.0;92.0;72;88.0;28.3
