uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
0332934K;COLLEGE ELISE DEROCHE;115;90.0;91.0;95;103.4;31.0
0333134C;COLLEGE DE L'ESTEY;124;96.0;96.0;100;120.0;33.7
0333213N;COLLEGE MARGUERITE DURAS;136;88.0;84.0;95;93.0;30.8
0333287U;COLLEGE DE LACANAU;133;86.0;95.0;91;116.5;30.8
0340008Z;COLLEGE VICTOR HUGO;120;87.0;93.0;86;97.5;28.9
0340016H;COLLEGE LA DULLAGUE;121;74.0;90.0;65;81.6;28.8
0340053Y;COLLEGE CROIX D ARGENT;183;75.0;80.0;89;91.2;29.7
0340062H;COLLEGE VIA DOMITIA;159;90.0;96.0;120;111.6;30.7
0340063J;COLLEGE LOUIS CAHUZAC;69;93.0;91.0;52;104.6;28.9
0340065L;COLLEGE JEAN JAURES;53;91.0;94.0;30;103.7;30.4
0340869K;COLLEGE PRIVE PIC LA SALLE;157;100.0;91.0;151;126.0;27.6
0340874R;COLLEGE PRIVE L ASSOMPTION;226;100.0;86.0;225;139.5;25.8
0340894M;COLLEGE PRIVE SAINTE-THERESE LA SALLE;95;100.0;86.0;93;116.2;28.5
0341065Y;COLLEGE JEAN MOULIN;66;97.0;86.0;50;76.8;22.4
0341277D;COLLEGE LES AIGUERELLES;155;81.0;76.0;96;99.1;35.5
0341278E;COLLEGE ARTHUR RIMBAUD;173;86.0;91.0;105;69.4;21.5
0341387Y;COLLEGE ALFRED CROUZET;165;90.0;94.0;115;105.5;32.1
0341537L;COLLEGE FREDERIC MISTRAL;123;89.0;90.0;99;118.9;34.1
0341577E;COLLEGE LE BERANGE;121;99.0;85.0;100;120.2;34.8
0341764H;COLLEGE FRANCOIS VILLON;213;92.0;99.0;177;129.9;34.8
0342050U;COLLEGE FRANCOISE GIROUD;170;94.0;93.0;131;99.9;30.0
0342186S;COLLEGE MAX ROUQUETTE;161;96.0;97.0;144;106.4;32.8
0350002M;COLLEGE PIERRE BROSSOLETTE;125;98.0;90.0;105;118.1;36.2
0350044H;COLLEGE CHATEAUBRIAND;61;79.0;92.0;33;98.6;32.9
0350057X;COLLEGE JACQUES PREVERT;119;92.0;98.0;97;112.8;33.2
0350773A;COLLEGE PRIVE CHOISY;140;99.0;93.0;132;127.6;27.4
0350851K;COLLEGE PRIVE ST JOSEPH;195;96.0;91.0;181;110.2;28.6
0350857S;COLLEGE PRIVE ST GILDUIN;95;100.0;89.0;86;114.4;28.7
0350869E;COLLEGE PRIVE STE MARIE;39;100.0;93.0;33;98.0;23.6
0350887Z;COLLEGE PRIVE NOTRE DAME;57;100.0;92.0;53;105.7;26.6
0350916F;COLLEGE DUGUAY-TROUIN;112;90.0;92.0;84;105.6;35.9
0351969A;COLLEGE BEAUMONT;121;87.0;91.0;95;109.3;36.0
0352030S;COLLEGE MORVAN LEBESQUE;88;92.0;93.0;58;111.3;34.6
0352247C;COLLEGE EVARISTE GALOIS;133;97.0;92.0;119;105.0;31.6
0352248D;COLLEGE VICTOR SEGALEN;128;99.0;96.0;122;128.0;35.2
0352274G;COLLEGE FRANCOISE DOLTO;186;97.0;95.0;168;121.9;38.1
0352319F;COLLEGE PRIVE ST GABRIEL;242;100.0;96.0;227;134.2;26.3
0352541X;COLLEGE THEODORE MONOD;149;89.0;92.0;120;117.7;33.9
0353036K;COLLEGE PRIVE SAINTE-MARIE;108;98.0;91.0;95;123.3;26.0
0360567W;COLLEGE PRIVE LEON XIII;109;100.0;83.0;103;113.8;30.5
0360658V;COLLEGE ROMAIN ROLLAND;109;82.0;89.0;59;94.5;31.8
0360721N;COLLEGE HONORE DE BALZAC;81;88.0;90.0;47;93.4;30.3
0370007G;COLLEGE ANDRE BAUCHANT;163;91.0;95.0;125;99.3;29.1
0370023Z;COLLEGE HONORE RACAN;78;91.0;97.0;59;105.0;30.8
0370041U;COLLEGE MICHELET;86;83.0;76.0;45;96.0;39.5
0370791J;COLLEGE ARCHE DU LUDE;61;69.0;91.0;30;75.3;26.1
0370884K;COLLEGE MONTAIGNE;131;90.0;95.0;92;106.6;31.5
0370887N;COLLEGE JULES ROMAINS;144;90.0;86.0;107;128.0;34.8
0370993D;COLLEGE VAL DE L INDRE;137;96.0;98.0;103;116.0;30.1
0370994E;COLLEGE HENRI BECQUEREL;104;87.0;91.0;61;104.2;30.5
0371124W;COLLEGE LE REFLESSOIR;119;87.0;93.0;83;108.2;31.0
0371191U;COLLEGE LE PUITS DE LA ROCHE;57;93.0;85.0;38;99.5;27.1
0371316E;COLLEGE VALLEE VIOLETTE;63;90.0;85.0;41;95.7;37.8
0371325P;COLLEGE PRIVE STE CLOTILDE ST JOSEPH;70;99.0;76.0;57;127.6;27.7
0371403Z;COLLEGE RENE CASSIN;134;92.0;95.0;103;124.0;33.3
0380038K;COLLEGE JACQUES PREVERT;135;91.0;98.0;106;115.2;32.0
0380039L;COLLEGE DU TRIEVES;49;90.0;82.0;40;109.3;28.3
0380044S;COLLEGE MARCEL CUYNAT;78;88.0;94.0;56;118.2;32.3
0380356F;COLLEGE JULES VALLES;97;81.0;91.0;56;99.8;35.6
0381685A;COLLEGE PRIVE SAINT BAPTISTE;37;100.0;64.0;36;99.4;25.6
0381694K;COLLEGE PRIVE DON BOSCO;141;99.0;91.0;134;136.3;26.3
0381703V;COLLEGE PRIVE JEANNE D'ARC;104;100.0;92.0;94;115.8;26.7
0381710C;COLLEGE PRIVE SAINT JOSEPH;173;100.0;88.0;171;120.8;32.4
0381779C;COLLEGE LES MATTONS;193;90.0;98.0;142;110.4;35.1
0381903M;COLLEGE JEAN VILAR;71;70.0;83.0;36;72.7;21.8
0382204P;COLLEGE LA PIERRE AIGUILLE;158;99.0;94.0;140;132.9;35.5
0382430K;COLLEGE DE L'ISLE;142;87.0;97.0;102;110.9;34.5
0382504R;COLLEGE GEORGES BRASSENS;97;81.0;92.0;64;89.4;26.7
0382506T;COLLEGE SONIA DELAUNAY;111;86.0;91.0;76;102.1;36.5
0382781S;COLLEGE SIMONE DE BEAUVOIR;148;90.0;94.0;111;126.9;35.7
0382865H;COLLEGE GEORGES POMPIDOU;107;88.0;92.0;79;126.4;36.1
0383370G;COLLEGE AIME CESAIRE;142;80.0;87.0;93;89.4;35.4
0390009Y;COLLEGE DES LACS;63;87.0;95.0;46;108.8;31.7
0390028U;COLLEGE PIERRE HYACINTHE CAZEAUX;77;87.0;91.0;59;87.7;30.9
0390031X;COLLEGE MICHEL BREZILLON;45;98.0;98.0;36;103.6;29.9
0390075V;COLLEGE PRIVE JEANNE D'ARC;65;100.0;87.0;58;101.6;25.4
0390916J;COLLEGE LOUIS BOUVIER;61;95.0;93.0;48;100.1;30.4
0391003D;COLLEGE PRIVE SAINTE MARIE;56;98.0;81.0;45;105.9;28.7
0400003L;COLLEGE DU PAYS DES LUYS;73;97.0;97.0;62;98.5;26.9
0400026L;COLLEGE ST EXUPERY;150;87.0;93.0;107;99.0;28.2
0400033U;COLLEGE MARIE CURIE;56;89.0;92.0;42;96.1;27.2
0400092H;COLLEGE JEAN MERMOZ;74;99.0;97.0;64;104.5;30.8
0400105X;COLLEGE JACQUES PREVERT;122;94.0;93.0;98;102.2;29.9
0410013S;COLLEGE LOUIS PASTEUR;65;89.0;99.0;43;98.3;29.1
0410016V;COLLEGE RENE CASSIN;96;77.0;96.0;54;100.7;28.7
0410019Y;COLLEGE MAURICE GENEVOIX;178;86.0;92.0;115;96.2;31.7
0410631N;COLLEGE PIERRE DE RONSARD;106;81.0;91.0;57;100.0;31.9
0410677N;COLLEGE PRIVE LE PRIEURE;137;100.0;89.0;132;120.9;28.6
0410716F;COLLEGE JOSEPH CROCHETON;150;87.0;91.0;114;107.0;31.2
0410793P;COLLEGE LEONARD DE VINCI;112;76.0;91.0;57;84.1;28.5
0421041D;COLLEGE PRIVE NOTRE DAME D'ESPERANCE;117;95.0;86.0;88;107.5;30.5
0421044G;COLLEGE PRIVE SAINT JOSEPH;45;93.0;74.0;33;102.3;23.4
0421057W;COLLEGE PRIVE ST MARCELLIN CHAMPAGNAT;110;100.0;96.0;106;106.8;29.0
0421085B;COLLEGE L'ASTREE;114;90.0;90.0;86;100.3;29.6
0421172W;COLLEGE FRANCOIS TRUFFAUT;162;90.0;93.0;124;104.1;33.0
0421174Y;COLLEGE LOUIS GRUNER;165;93.0;94.0;131;106.0;29.9
0421454C;COLLEGE MARIO MEUNIER;288;91.0;96.0;230;107.1;35.7
0421490S;COLLEGE NICOLAS CONTE;77;99.0;95.0;70;106.5;31.4
0421570D;COLLEGE LES BRUNEAUX;54;80.0;84.0;33;80.6;27.6
0421677V;COLLEGE CLAUDE FAURIEL;112;76.0;92.0;66;97.1;38.8
0421680Y;COLLEGE LOUISE MICHEL;93;78.0;90.0;64;93.5;35.4
0421683B;COLLEGE JULES FERRY;103;93.0;93.0;76;87.7;31.7
0421801E;COLLEGE PRIVE SAINT PAUL;149;99.0;89.0;143;119.4;31.2
0422136U;COLLEGE LEONARD DE VINCI;171;94.0;94.0;136;99.4;30.1
0430043N;COLLEGE JULES VALLES;122;86.0;94.0;89;98.5;37.5
0430135N;COLLEGE JEAN MONNET;87;92.0;91.0;68;105.0;33.0
0440008V;COLLEGE CACAULT;157;92.0;96.0;127;113.2;34.2
0440015C;COLLEGE JACQUES PREVERT;103;83.0;94.0;62;97.0;29.9
0440023L;COLLEGE CHANTENAY;189;97.0;93.0;151;121.1;44.0
0440179F;COLLEGE PRIVE NOTRE DAME LA MAINE;127;100.0;98.0;123;113.6;27.6
0440192V;COLLEGE PRIVE ST MICHEL;49;98.0;96.0;44;102.2;26.4
0440198B;COLLEGE PRIVE NOTRE DAME;69;94.0;91.0;54;123.4;27.7
0440207L;COLLEGE PRIVE ST RAPHAEL;40;80.0;51.0;21;116.5;30.5
0440221B;COLLEGE PRIVE ST MICHEL;130;98.0;96.0;119;117.7;29.4
0440226G;COLLEGE PRIVE ND DE RECOUVRANCE;135;99.0;92.0;118;117.3;28.9
0440284V;COLLEGE STENDHAL;98;68.0;81.0;44;78.7;32.3
0440287Y;COLLEGE LE HERAULT;98;83.0;94.0;72;108.4;37.1
0440291C;COLLEGE ILES DE LOIRE;103;92.0;93.0;76;113.6;35.6
0440292D;COLLEGE JEAN MERMOZ;117;87.0;92.0;81;108.8;31.7
0441612N;COLLEGE PIERRE DE COUBERTIN;64;91.0;86.0;44;98.3;29.6
0441613P;COLLEGE PIERRE NORANGE;64;81.0;94.0;38;70.6;21.4
0441657M;COLLEGE ANTOINE DE SAINT-EXUPERY;122;91.0;96.0;95;117.8;33.0
0441930J;COLLEGE PRIVE ST JOSEPH;166;99.0;96.0;156;109.0;27.7
0441939U;COLLEGE PRIVE GABRIEL DESHAYES;141;99.0;96.0;123;103.2;25.9
0442595G;COLLEGE LUCIE AUBRAC;126;94.0;92.0;106;122.3;32.4
0442691L;COLLEGE AGNES VARDA;154;95.0;96.0;122;113.4;32.6
0442759K;COLLEGE ANITA CONTI;150;84.0;88.0;103;106.5;37.7
0442781J;COLLEGE ROSA PARKS;137;99.0;93.0;130;116.2;29.4
0442807M;COLLEGE FRIDA KAHLO;128;88.0;54.0;81;102.9;30.0
0450017Z;COLLEGE PIERRE DEZARNAULDS;74;91.0;96.0;49;95.9;28.4
0450063Z;COLLEGE VICTOR HUGO;98;78.0;94.0;58;100.6;26.5
0450109Z;COLLEGE PRIVE ASSOMPTION ST MARC-ST AIGNAN;108;98.0;88.0;93;115.8;30.9
0450123P;COLLEGE PRIVE SAINT JOSEPH;48;100.0;93.0;43;118.6;30.2
0450479B;COLLEGE PRIVE CHARLES DE FOUCAULD - SITE BEAUGENCY;37;92.0;80.0;29;110.0;28.7
0450785J;COLLEGE JEANNE D ARC;154;95.0;87.0;106;103.3;42.1
0450787L;COLLEGE GUTENBERG;154;83.0;95.0;91;95.8;26.5
0450839T;COLLEGE SAINT-EXUPERY;136;83.0;89.0;88;84.3;29.9
0451038J;COLLEGE MONTJOIE;120;88.0;90.0;83;95.6;31.4
0451069T;COLLEGE LE CLOS FERBOIS;131;83.0;97.0;86;108.5;32.2
0451074Y;COLLEGE JACQUES PREVERT;111;95.0;94.0;78;117.5;37.8
0451286D;COLLEGE LES CLORISSEAUX;78;92.0;96.0;55;100.8;33.0
0451316L;COLLEGE PRIVE LA CROIX ST MARCEAU;104;100.0;91.0;99;128.5;34.3
0451660K;COLLEGE VAL DE LOIRE;112;94.0;98.0;81;114.5;33.1
0460573Y;COLLEGE D'ORLINDE;75;89.0;99.0;52;103.9;30.0
0460593V;COLLEGE JEAN LURCAT;93;89.0;94.0;68;100.5;31.6
0460620Z;COLLEGE PRIVE SAINT-ETIENNE;67;97.0;92.0;54;119.1;27.2
0470008D;COLLEGE PAUL DANGLA;123;86.0;93.0;96;94.7;33.4
0470048X;COLLEGE KLEBER THOUEILLES;66;85.0;91.0;45;92.8;26.3
0470068U;COLLEGE PRIVE LA SALLE SAINTE MARIE;30;87.0;87.0;21;105.4;27.7
0470102F;COLLEGE PAUL FROMENT;65;78.0;78.0;33;76.6;25.9
0470733S;COLLEGE CITE SCOLAIRE;155;92.0;92.0;118;101.7;33.7
0470774L;COLLEGE STENDHAL;83;90.0;88.0;66;84.1;26.7
0470777P;COLLEGE JOSEPH CHAUMIE;171;84.0;90.0;109;91.4;32.5
0480003T;COLLEGE DES TROIS VALLEES;51;94.0;87.0;43;103.9;33.5
0480013D;COLLEGE HAUT-GEVAUDAN;84;98.0;92.0;77;103.5;30.6
0480024R;COLLEGE PRIVE NOTRE DAME;62;100.0;96.0;57;109.8;24.2
0490004N;COLLEGE CHEVREUL;138;88.0;91.0;101;127.4;40.6
0490010V;COLLEGE CHATEAUCOIN;70;97.0;93.0;57;94.4;28.4
0490026M;COLLEGE MARYSE BASTIE;68;96.0;83.0;46;98.9;35.2
0490034W;COLLEGE DE L EVRE;73;90.0;94.0;47;91.7;31.5
0490037Z;COLLEGE PHILIPPE COUSTEAU;45;89.0;94.0;33;90.4;31.2
0490042E;COLLEGE PIERRE MENDES FRANCE;44;80.0;89.0;26;81.6;23.2
0490057W;COLLEGE GEORGES POMPIDOU;104;98.0;96.0;93;108.2;33.0
0490829K;COLLEGE PRIVE JEANNE D'ARC;133;99.0;93.0;123;126.0;28.8
0490844B;COLLEGE PRIVE ST AUGUSTIN;184;98.0;88.0;149;116.9;30.4
0490857R;COLLEGE PRIVE ST FRANCOIS;99;100.0;93.0;92;109.6;29.4
0490858S;COLLEGE PRIVE ST JOSEPH;129;100.0;97.0;125;108.9;28.8
0490871F;COLLEGE PRIVE LE SACRE COEUR;43;95.0;97.0;34;97.1;22.3
0490873H;COLLEGE PRIVE JACQUES CATHELINEAU;69;99.0;97.0;64;106.4;29.1
0490874J;COLLEGE PRIVE CARLO ACUTIS;55;100.0;94.0;46;112.4;29.1
0490876L;COLLEGE PRIVE FREDERIC OZANAM;125;98.0;99.0;96;100.1;23.9
0490955X;COLLEGE SAINT-EXUPERY;109;93.0;96.0;85;111.8;34.3
0491260D;COLLEGE FRANCOIS VILLON;166;89.0;89.0;115;107.2;36.4
0491645X;COLLEGE JEAN RACINE;139;99.0;97.0;128;117.7;31.2
0491648A;COLLEGE BENJAMIN DELESSERT;56;89.0;89.0;34;87.5;32.6
0491674D;COLLEGE CLEMENT JANEQUIN;134;85.0;90.0;91;108.0;38.2
0491764B;COLLEGE CLAUDE DEBUSSY;51;76.0;84.0;29;92.9;32.8
0491825T;COLLEGE DAVID D ANGERS;141;91.0;87.0;112;112.9;41.5
0491921X;COLLEGE PRIVE ST AUBIN LA SALLE;98;98.0;83.0;83;113.5;30.0
0491923Z;COLLEGE PRIVE ST LAUD;93;97.0;97.0;70;121.8;30.3
0491927D;COLLEGE PRIVE ND D'ORVEAU;43;100.0;92.0;34;128.9;27.0
0491928E;COLLEGE PRIVE ST JOSEPH;219;100.0;92.0;195;111.8;29.7
0500024E;COLLEGE INGENIEUR CACHIN;66;83.0;81.0;42;97.3;38.0
0500034R;COLLEGE RAYMOND LE CORRE;86;87.0;89.0;60;99.9;31.3
0500035S;COLLEGE ROLAND VAUDATIN;39;95.0;86.0;31;90.9;25.5
0500046D;COLLEGE JEAN MONNET;79;84.0;92.0;54;99.8;29.7
0500048F;COLLEGE LES COURTILS;85;94.0;89.0;63;106.1;33.7
0500059T;COLLEGE JEAN GREMILLON;68;93.0;90.0;40;94.4;25.3
0500075K;COLLEGE ANATOLE FRANCE;63;95.0;83.0;50;105.7;30.4
0501218C;COLLEGE ETENCLIN;61;93.0;95.0;49;87.5;27.3
0501302U;COLLEGE PIERRE AGUITON;99;96.0;87.0;85;94.8;29.3
0501705G;COLLEGE PRIVE SEVIGNE;148;95.0;90.0;126;118.2;28.3
0501799J;COLLEGE LUCIEN GOUBERT;71;97.0;91.0;60;110.2;33.2
0501830T;COLLEGE LEON JOZEAU MARIGNE;31;100.0;96.0;26;94.2;27.8
0510011K;COLLEGE PERROT D ABLANCOURT;122;84.0;87.0;80;95.6;33.4
0510027C;COLLEGE LUCIE AUBRAC;42;95.0;90.0;34;90.3;26.2
0510028D;COLLEGE PROFESSEUR NICAISE;66;92.0;94.0;47;97.4;26.6
0510044W;COLLEGE COLBERT;108;79.0;89.0;75;76.8;23.6
0510059M;COLLEGE EUSTACHE DESCHAMPS;72;83.0;91.0;49;100.6;26.8
0510060N;COLLEGE PAUL ELUARD;106;95.0;95.0;89;115.3;32.0
0511084B;COLLEGE UNIVERSITE;127;90.0;89.0;103;124.7;36.4
0511085C;COLLEGE ROBERT SCHUMAN;138;71.0;81.0;75;87.6;33.6
0511129A;COLLEGE PRIVE NOTRE-DAME;169;99.0;90.0;159;117.4;28.0
0511138K;COLLEGE PRIVE NOTRE-DAME;195;95.0;93.0;157;130.7;26.0
0511251H;COLLEGE JOLIOT-CURIE;90;74.0;85.0;49;68.2;18.4
0511326P;COLLEGE GEORGES CHARPAK;123;86.0;91.0;83;108.9;31.3
0511432E;COLLEGE YVETTE LUNDY;102;79.0;96.0;65;106.3;31.5
0511472Y;COLLEGE LOUIS GRIGNON;103;70.0;96.0;64;95.9;31.4
0511476C;COLLEGE GISELE PROBST;77;83.0;95.0;55;93.5;29.0
0511961E;COLLEGE PIERRE DE COUBERTIN;125;75.0;92.0;64;98.9;32.1
0520014H;COLLEGE JOUFFROY D'ABBANS;50;84.0;95.0;31;89.5;26.9
0520733P;COLLEGE CAMILLE SAINT-SAENS;72;75.0;89.0;43;109.9;32.2
0520794F;COLLEGE HENRI VINCENOT;50;80.0;95.0;33;93.4;29.1
0520967U;COLLEGE PRIVE SACRE-COEUR;36;86.0;89.0;26;107.0;25.0
0530003R;COLLEGE JEAN-LOUIS BERNARD;39;100.0;94.0;32;100.0;28.7
0530005T;COLLEGE VOLNEY;56;89.0;94.0;34;92.8;30.7
0530061D;COLLEGE PRIVE ST JEAN-BAPTISTE DE LA SALLE;167;98.0;88.0;135;106.0;29.5
0530077W;COLLEGE RENE CASSIN;63;97.0;90.0;48;89.0;28.1
0530791X;COLLEGE MAURICE GENEVOIX;54;98.0;90.0;40;95.9;30.6
0530827L;COLLEGE PAUL EMILE VICTOR;112;99.0;93.0;99;104.5;31.3
0540004L;COLLEGE RENE GAILLARD;64;88.0;95.0;47;99.3;30.4
0540071J;COLLEGE ROBERT GEANT;90;100.0;97.0;84;112.5;29.0
0540111C;COLLEGE JACQUES CALLOT;102;85.0;87.0;72;85.8;33.9
0541329B;COLLEGE CHARLES GUERIN;81;96.0;90.0;66;88.4;32.4
0541333F;COLLEGE JOLIOT CURIE;73;89.0;93.0;51;96.0;27.8
0541334G;COLLEGE ALBERT LEBRUN;83;87.0;92.0;60;83.5;25.4
0541336J;COLLEGE PIERRE BROSSOLETTE;73;92.0;90.0;55;100.9;33.7
0541440X;COLLEGE PRIVE NOTRE DAME;64;100.0;86.0;63;119.5;27.2
0541579Y;COLLEGE EMILE GALLE;146;95.0;94.0;122;102.5;32.6
0541990V;COLLEGE PRIVE SAINT PIERRE FOURIER;82;90.0;79.0;60;107.3;27.2
0541994Z;COLLEGE PRIVE SAINT DOMINIQUE;55;98.0;78.0;51;120.6;27.3
0541999E;COLLEGE PRIVE JEAN-BAPTISTE VATELOT;99;100.0;96.0;89;111.8;26.4
0542189L;COLLEGE JACQUES MONOD;142;94.0;95.0;116;123.4;31.5
0542468P;COLLEGE MONTAIGU;133;96.0;90.0;110;104.4;35.5
0550022A;COLLEGE EMILIE DU CHATELET;37;84.0;89.0;26;102.7;30.6
0550046B;COLLEGE PRIVE LA CROIX;80;100.0;95.0;77;120.8;28.8
0762286X;COLLEGE CATHERINE BERNARD;109;89.0;95.0;75;102.5;31.6
0762287Y;COLLEGE GEORGES CUVIER;87;87.0;93.0;61;91.0;26.9
0762568D;COLLEGE PRIVE DU SACRE-COEUR;138;99.0;81.0;119;112.5;27.9
0762816Y;COLLEGE MASSEOT ABAQUESNE;135;84.0;92.0;92;118.0;33.7
0771420A;COLLEGE BEAUMARCHAIS;126;82.0;92.0;70;75.3;21.2
0771656G;COLLEGE L'ARCHE GUEDON;125;89.0;96.0;69;100.0;32.3
0771911J;COLLEGE LES TILLEULS;123;95.0;97.0;100;118.1;30.9
0772588V;COLLEGE CLAUDE MONET;130;98.0;93.0;106;122.1;35.1
0851193K;COLLEGE JEAN ROSTAND;138;87.0;94.0;100;91.8;31.0
0851388X;COLLEGE OLIVIER MESSIAEN;120;92.0;95.0;96;100.9;29.7
0851435Y;COLLEGE ANTOINE DE ST EXUPERY;113;96.0;92.0;95;104.4;31.0
0851620Z;COLLEGE STEPHANE PIOBETTA;139;91.0;93.0;114;105.7;31.2
0851655M;COLLEGE JACQUES LAURENT;97;90.0;97.0;62;101.0;30.4
0860016A;COLLEGE JEAN JAURES;92;91.0;91.0;70;106.6;30.0
0860017B;COLLEGE RENE CASSIN;46;98.0;98.0;44;93.6;26.6
0860032T;COLLEGE JEAN ROSTAND;154;90.0;93.0;117;110.2;30.4
0860043E;COLLEGE LEON HUET;65;91.0;96.0;51;100.4;28.5
0860044F;COLLEGE MAURICE BEDEL;77;88.0;97.0;53;102.9;30.5
0860045G;COLLEGE ISAAC DE RAZILLY;49;98.0;85.0;40;89.4;27.5
0860049L;COLLEGE CAMILLE GUERIN;119;90.0;94.0;87;107.0;32.8
0860702W;COLLEGE JEAN-MACE;60;87.0;77.0;36;86.9;32.4
0860756E;COLLEGE PRIVE ISAAC DE L'ETOILE (ST STANISLA;148;94.0;88.0;121;123.2;29.4
0861092V;COLLEGE FERDINAND CLOVIS PIN;106;92.0;91.0;79;117.1;39.9
0870022B;COLLEGE GUY DE MAUPASSANT;74;84.0;84.0;45;93.7;36.9
0870036S;COLLEGE FERNAND LAGRANGE;89;99.0;97.0;74;114.5;30.0
0870771R;COLLEGE BERNART DE VENTADOUR;153;88.0;92.0;97;99.1;36.4
0870817R;COLLEGE AUGUSTE RENOIR;138;86.0;94.0;93;103.7;33.8
0870821V;COLLEGE JEAN BAPTISTE DARNET;117;85.0;95.0;77;102.7;32.2
0880011J;COLLEGE JEAN ROSTAND;42;100.0;93.0;28;88.3;25.4
0880045W;COLLEGE ALPHONSE CYTERE;83;89.0;95.0;64;93.1;31.6
0880068W;COLLEGE FLEUROT D'HERIVAL;47;94.0;88.0;38;99.0;32.1
0880096B;COLLEGE PRIVE SAINT JOSEPH;66;95.0;85.0;52;107.7;28.8
0880114W;COLLEGE PRIVE SAINTE JEANNE D'ARC;36;92.0;79.0;26;100.5;24.9
0880149J;COLLEGE SAINT EXUPERY;64;84.0;81.0;36;68.2;20.2
0880156S;COLLEGE JULES VERNE;80;96.0;90.0;62;103.4;29.4
0880418B;COLLEGE LOUIS PERGAUD;105;92.0;91.0;81;96.9;29.1
0881097P;COLLEGE LOUIS ARMAND;160;97.0;92.0;117;102.9;33.2
0881101U;COLLEGE ANDRE MALRAUX;57;95.0;88.0;44;83.3;27.1
0881102V;COLLEGE LYAUTEY;71;90.0;91.0;52;89.1;30.0
0881369K;COLLEGE CAMILLE CLAUDEL;93;91.0;95.0;71;103.7;31.2
0881410E;COLLEGE DE LA HAUTE MEURTHE;80;90.0;88.0;58;96.6;27.0
0881446U;COLLEGE LA HAIE GRISELLE;120;88.0;95.0;86;108.5;34.6
0881496Y;COLLEGE PRIVE NOTRE DAME-SAINT JOSEPH;153;100.0;89.0;144;122.2;27.3
0890015H;COLLEGE JEAN ROCH COIGNET;67;75.0;93.0;37;101.6;29.4
0890037G;COLLEGE ANDRE LEROI-GOURHAN;62;90.0;87.0;50;99.6;29.7
0890038H;COLLEGE GASTON RAMON;102;80.0;93.0;56;92.6;24.7
0890090P;COLLEGE ALBERT CAMUS;153;90.0;94.0;111;102.1;31.7
0890789Z;COLLEGE PAUL BERT;139;96.0;93.0;109;95.8;33.3
0890937K;COLLEGE MARIE-NOEL;104;74.0;93.0;52;87.8;28.0
0891055N;COLLEGE PRIVE SAINT ETIENNE;129;99.0;87.0;118;117.2;29.1
0891057R;COLLEGE PHILIPPE COUSTEAU;70;77.0;91.0;37;95.0;27.6
0891235J;COLLEGE ANDRE MALRAUX;147;90.0;92.0;108;105.6;30.8
0900013A;COLLEGE MICHEL COLUCCI;76;93.0;97.0;60;108.6;33.3
0910024G;COLLEGE JULIETTE ADAM;146;97.0;93.0;125;136.5;36.7
0910025H;COLLEGE WOLFGANG AMADEUS MOZART;162;85.0;90.0;87;96.7;30.4
0910056S;COLLEGE OLIVIER DE SERRES;106;92.0;88.0;63;82.1;25.3
0910624J;COLLEGE BLAISE PASCAL;112;93.0;91.0;77;88.5;27.7
0910775Y;COLLEGE NICOLAS BOILEAU;170;82.0;91.0;103;87.7;27.2
0910776Z;COLLEGE PAUL ELUARD;147;85.0;90.0;74;85.6;22.1
0910777A;COLLEGE LES DINES CHIENS;186;83.0;93.0;105;96.3;31.3
0910820X;COLLEGE PRIVE SAINT MARTIN;107;99.0;85.0;97;138.9;23.7
0910827E;COLLEGE PRIVE JEANNE D'ARC;133;100.0;96.0;117;131.0;25.9
0910971L;COLLEGE LES SABLONS;131;86.0;92.0;77;86.4;26.6
0910973N;COLLEGE EUGENE DELACROIX;149;86.0;89.0;78;96.8;32.2
0910979V;COLLEGE BELLEVUE;231;94.0;97.0;189;113.2;36.0
0911024U;COLLEGE LOUISE MICHEL;130;82.0;91.0;77;83.3;26.8
0911028Y;COLLEGE FERDINAND BUISSON;137;83.0;92.0;79;98.8;33.5
0911032C;COLLEGE PIERRE MENDES FRANCE;104;91.0;91.0;75;105.9;34.7
0911034E;COLLEGE CESAR FRANCK;161;90.0;87.0;113;119.5;36.9
0911039K;COLLEGE PAUL ELUARD;226;88.0;93.0;135;99.6;32.1
0911042N;COLLEGE PAUL ELUARD;183;83.0;92.0;97;86.4;25.1
0911143Y;COLLEGE ALEXANDRE FLEMING;141;96.0;97.0;114;142.9;35.4
0911152H;COLLEGE JEAN MOULIN;190;86.0;90.0;110;99.3;32.9
