nb_candidats_g,taux_de_reussite_g,taux_d_acces_6eme_3eme,nb_mentions_g,ips,ecart_type_de_l_ips
121,99.0,87.0,117,109.3,29.4
34,100.0,98.0,31,105.5,25.9
39,100.0,90.0,37,104.9,23.8
193,84.0,87.0,129,88.2,39.4
140,96.0,93.0,113,101.3,32.4
91,71.0,79.0,45,90.2,33.1
149,95.0,92.0,125,115.3,31.3
224,80.0,86.0,149,82.6,31.5
138,83.0,88.0,93,90.5,36.4
69,86.0,83.0,39,71.7,22.1
119,95.0,95.0,92,108.7,30.7
239,99.0,90.0,220,114.0,30.7
95,80.0,88.0,64,85.7,32.0
172,92.0,95.0,131,115.8,30.5
55,98.0,94.0,51,106.7,29.5
98,100.0,97.0,98,112.0,26.2
48,100.0,87.0,42,91.0,31.0
40,98.0,91.0,32,107.4,33.5
77,96.0,91.0,55,91.6,26.4
96,96.0,88.0,69,118.0,42.0
126,90.0,80.0,92,102.5,39.1
163,91.0,93.0,121,113.7,34.9
95,97.0,81.0,80,119.9,28.0
150,97.0,95.0,126,126.7,27.7
110,96.0,95.0,86,105.9,26.5
91,98.0,90.0,78,114.3,27.3
50,90.0,89.0,41,105.8,33.8
64,98.0,88.0,52,102.9,25.3
116,91.0,91.0,90,107.9,26.9
82,74.0,74.0,47,97.2,39.7
128,94.0,92.0,102,132.5,37.8
145,92.0,90.0,115,106.7,35.1
174,100.0,92.0,155,134.6,26.9
105,76.0,78.0,49,90.6,38.2
136,94.0,94.0,104,109.1,31.0
142,85.0,84.0,96,107.7,43.4
110,95.0,95.0,98,135.5,33.3
130,94.0,98.0,105,116.3,33.0
106,92.0,88.0,74,108.2,38.8
81,93.0,88.0,58,86.7,25.4
69,99.0,91.0,54,94.0,27.9
202,100.0,93.0,181,118.0,30.3
257,100.0,92.0,257,143.4,19.2
123,100.0,85.0,123,143.0,21.2
177,100.0,85.0,166,137.0,24.4
188,100.0,90.0,166,122.2,30.3
124,99.0,97.0,107,127.0,38.6
114,95.0,86.0,90,115.5,34.3
140,96.0,94.0,121,110.7,31.7
141,95.0,95.0,116,129.1,32.7
143,94.0,97.0,115,110.2,31.8
123,89.0,82.0,96,107.3,39.8
81,93.0,91.0,63,99.5,33.4
98,96.0,96.0,73,104.9,29.8
165,86.0,96.0,100,99.8,29.9
95,62.0,83.0,37,89.7,33.0
157,77.0,95.0,85,104.2,31.0
117,100.0,92.0,113,133.8,27.3
149,83.0,83.0,95,94.7,31.8
133,86.0,89.0,71,81.3,29.3
98,84.0,98.0,55,91.3,28.7
139,82.0,84.0,90,83.8,28.1
75,97.0,91.0,58,87.8,29.7
151,100.0,90.0,148,133.9,25.1
223,100.0,95.0,201,128.9,25.3
167,81.0,86.0,98,89.5,28.8
115,97.0,98.0,105,111.6,31.8
73,88.0,97.0,52,115.8,30.8
114,89.0,96.0,80,101.1,34.0
99,89.0,94.0,71,100.6,32.3
48,100.0,77.0,44,118.4,28.5
54,98.0,93.0,47,106.7,29.4
74,91.0,93.0,55,100.9,28.0
33,91.0,91.0,25,102.6,29.3
41,85.0,94.0,31,101.9,29.2
94,91.0,94.0,63,101.7,29.8
41,100.0,91.0,35,97.5,26.3
56,82.0,85.0,37,102.0,34.0
